-----;------;-----;--------;----;---------------;------------;----------;----------;----------;----------;----------;----------;----------;------------;----------;----------;----------;----------;---------------;----------;---------------;----------;---------;
IPER ; ICEN ;IPAT ;  Dur   ;SIST;   Nome Sist   ;  Demanda   ;  GerPeq  ;   Gter   ;  GterAT  ;   Ghid   ;  Cbomb   ;  Compra  ;  Venda   ; IntercLiq  ; Itaipu50 ; Itaipu60 ; Deficit  ;   ENA    ;   EarmInic    ;EarmInic% ;    EarmFim    ; EarmFim% ;   CMO   ;
  -  ;  -   ;  -  ;  (h)   ; -  ;       -       ;    (MW)    ;   (MW)   ;   (MW)   ;   (MW)   ;   (MW)   ;   (MW)   ;   (MW)   ;   (MW)   ;    (MW)    ;   (MW)   ;   (MW)   ;   (MW)   ; (MWmes)  ;    (MWmes)    ;   (%)    ;    (MWmes)    ;   (%)    ; ($/MWh) ;
-----;------;-----;--------;----;---------------;------------;----------;----------;----------;----------;----------;----------;----------;------------;----------;----------;----------;----------;---------------;----------;---------------;----------;---------;
   2 ;    2 ;   3 ;  82.00 ;  3 ; NE            ;    11040.1 ;   4382.0 ;   399.20 ;     0.00 ;  2185.90 ;     0.00 ;     0.00 ;     0.00 ;    4073.00 ;    -     ;    -     ;     0.00 ;   2204.9 ;      30366.36 ;    58.84 ;      31265.76 ;    60.59 ;  101.93 ;
   2 ;    2 ;  -  ;   -    ;  3 ; NE            ;    12012.9 ;   4382.0 ;   399.20 ;     0.00 ;  2892.04 ;     0.00 ;     0.00 ;     0.00 ;    4339.66 ;    -     ;    -     ;     0.00 ;   2204.9 ;      30366.36 ;    58.84 ;      31265.76 ;    60.59 ;  102.45 ;
   2 ;    2 ;   1 ;  40.00 ;  4 ; N             ;     6070.1 ;    490.0 ;   650.50 ;     0.00 ; 17929.60 ;     0.00 ;     0.00 ;     0.00 ;  -13000.00 ;    -     ;    -     ;     0.00 ;   3361.8 ;       8095.52 ;    53.72 ;       9138.75 ;    60.64 ;    0.00 ;
   2 ;    2 ;   2 ;  46.00 ;  4 ; N             ;     6024.5 ;    490.0 ;   650.50 ;     0.00 ; 17884.00 ;     0.00 ;     0.00 ;     0.00 ;  -13000.00 ;    -     ;    -     ;     0.00 ;   3361.8 ;       8095.52 ;    53.72 ;       9138.75 ;    60.64 ;    0.00 ;
   2 ;    2 ;   3 ;  82.00 ;  4 ; N             ;     5486.1 ;    490.0 ;   650.50 ;     0.00 ; 16045.60 ;     0.00 ;     0.00 ;     0.00 ;  -11700.00 ;    -     ;    -     ;     0.00 ;   3361.8 ;       8095.52 ;    53.72 ;       9138.75 ;    60.64 ;    0.00 ;
   2 ;    2 ;  -  ;   -    ;  4 ; N             ;     5772.6 ;    490.0 ;   650.50 ;     0.00 ; 16997.54 ;     0.00 ;     0.00 ;     0.00 ;  -12365.48 ;    -     ;    -     ;     0.00 ;   3361.8 ;       8095.52 ;    53.72 ;       9138.75 ;    60.64 ;    0.00 ;
   2 ;    2 ;   1 ;  40.00 ; 11 ; FC            ;        0.0 ;      0.0 ;     0.00 ;     0.00 ;     0.00 ;     0.00 ;     0.00 ;     0.00 ;       0.00 ;    -     ;    -     ;     0.00 ;    -     ;       -       ;    -     ;       -       ;    -     ;    0.00 ;
   2 ;    2 ;   2 ;  46.00 ; 11 ; FC            ;        0.0 ;      0.0 ;     0.00 ;     0.00 ;     0.00 ;     0.00 ;     0.00 ;     0.00 ;       0.00 ;    -     ;    -     ;     0.00 ;    -     ;       -       ;    -     ;       -       ;    -     ;    0.00 ;
   2 ;    2 ;   3 ;  82.00 ; 11 ; FC            ;        0.0 ;      0.0 ;     0.00 ;     0.00 ;     0.00 ;     0.00 ;     0.00 ;     0.00 ;       0.00 ;    -     ;    -     ;     0.00 ;    -     ;       -       ;    -     ;       -       ;    -     ;    0.00 ;
   2 ;    2 ;  -  ;   -    ; 11 ; FC            ;        0.0 ;      0.0 ;     0.00 ;     0.00 ;     0.00 ;     0.00 ;     0.00 ;     0.00 ;       0.00 ;    -     ;    -     ;     0.00 ;    -     ;       -       ;    -     ;       -       ;    -     ;    0.00 ;
   3 ;    3 ;   1 ;  40.00 ;  1 ; SE            ;    49464.5 ;   3952.0 ;  3242.70 ;   393.00 ; 39122.54 ;    11.47 ;     0.00 ;     0.00 ;    4878.73 ;  4000.00 ;  6300.00 ;     0.00 ;  17048.4 ;      95070.37 ;    46.53 ;     101714.68 ;    49.78 ;  101.96 ;
   3 ;    3 ;   2 ;  46.00 ;  1 ; SE            ;    46480.8 ;   3952.0 ;  3244.70 ;   393.00 ; 35606.39 ;   115.60 ;     0.00 ;     0.00 ;    5465.31 ;  2529.37 ;  7000.00 ;     0.00 ;  17048.4 ;      95070.37 ;    46.53 ;     101714.68 ;    49.78 ;  100.34 ;
   3 ;    3 ;   3 ;  82.00 ;  1 ; SE            ;    37804.6 ;   3952.0 ;  3235.70 ;   393.00 ; 26194.31 ;   115.60 ;     0.00 ;     0.00 ;    5781.19 ;  1900.00 ;  5494.95 ;     0.00 ;  17048.4 ;      95070.37 ;    46.53 ;     101714.68 ;    49.78 ;   94.30 ;
   3 ;    3 ;  -  ;   -    ;  1 ; SE            ;    42956.4 ;   3952.0 ;  3239.83 ;   393.00 ; 31849.58 ;    90.81 ;     0.00 ;     0.00 ;    5479.83 ;  2572.33 ;  6098.73 ;     0.00 ;  17048.4 ;      95070.37 ;    46.53 ;     101714.68 ;    49.78 ;   97.78 ;
   3 ;    3 ;   1 ;  40.00 ;  2 ; S             ;    16438.4 ;   1773.0 ;   665.00 ;     0.00 ;  3865.51 ;     0.00 ;     0.00 ;     0.00 ;   10134.89 ;    -     ;    -     ;     0.00 ;    770.2 ;       5161.19 ;    25.94 ;       5469.86 ;    27.49 ;  101.96 ;
   3 ;    3 ;   2 ;  46.00 ;  2 ; S             ;    14575.3 ;   1773.0 ;   665.00 ;     0.00 ;  2335.61 ;     0.00 ;     0.00 ;     0.00 ;    9801.69 ;    -     ;    -     ;     0.00 ;    770.2 ;       5161.19 ;    25.94 ;       5469.86 ;    27.49 ;  100.34 ;
   3 ;    3 ;   3 ;  82.00 ;  2 ; S             ;    11329.5 ;   1773.0 ;   665.00 ;     0.00 ;  1550.74 ;     0.00 ;     0.00 ;     0.00 ;    7340.76 ;    -     ;    -     ;     0.00 ;    770.2 ;       5161.19 ;    25.94 ;       5469.86 ;    27.49 ;   94.30 ;
   3 ;    3 ;  -  ;   -    ;  2 ; S             ;    13434.6 ;   1773.0 ;   665.00 ;     0.00 ;  2316.78 ;     0.00 ;     0.00 ;     0.00 ;    8679.86 ;    -     ;    -     ;     0.00 ;    770.2 ;       5161.19 ;    25.94 ;       5469.86 ;    27.49 ;   97.78 ;
   3 ;    3 ;   1 ;  40.00 ;  3 ; NE            ;    13096.4 ;   4382.0 ;   399.20 ;     0.00 ;  4028.82 ;     0.00 ;     0.00 ;     0.00 ;    4286.38 ;    -     ;    -     ;     0.00 ;   2160.0 ;      31265.76 ;    60.59 ;      33402.25 ;    64.73 ;  101.96 ;
   3 ;    3 ;   2 ;  46.00 ;  3 ; NE            ;    12671.3 ;   4382.0 ;   399.20 ;     0.00 ;  3157.10 ;     0.00 ;     0.00 ;     0.00 ;    4733.00 ;    -     ;    -     ;     0.00 ;   2160.0 ;      31265.76 ;    60.59 ;      33402.25 ;    64.73 ;  101.96 ;
   3 ;    3 ;   3 ;  82.00 ;  3 ; NE            ;    10979.2 ;   4382.0 ;   399.20 ;     0.00 ;  2125.00 ;     0.00 ;     0.00 ;     0.00 ;    4073.00 ;    -     ;    -     ;     0.00 ;   2160.0 ;      31265.76 ;    60.59 ;      33402.25 ;    64.73 ;  101.32 ;
   3 ;    3 ;  -  ;   -    ;  3 ; NE            ;    11946.6 ;   4382.0 ;   399.20 ;     0.00 ;  2860.89 ;     0.00 ;     0.00 ;     0.00 ;    4304.52 ;    -     ;    -     ;     0.00 ;   2160.0 ;      31265.76 ;    60.59 ;      33402.25 ;    64.73 ;  101.65 ;
