 
 Relatorio dos beneficios  da geracao das usinas a GNL
 
------;------;------;------;------;--------------;------;------------;------------;
      ;      ;      ;      ;      ;              ;      ; Benef_GNL  ;    Custo   ;
 PER  ; CEN  ; SIS  ;  K   ;  Num ;     Usina    ; PAT  ; (R$/MW.H)  ;    (MW.H)   ;
------;------;------;------;------;--------------;------;------------;------------;
    6 ;   22 ;   3  ;  2   ; 224  ; PSERGIPE I   ;  1   ;      56.36 ;     229.69 ;
    6 ;   22 ;   3  ;  2   ; 224  ; PSERGIPE I   ;  2   ;      56.35 ;     229.69 ;
    6 ;   22 ;   3  ;  2   ; 224  ; PSERGIPE I   ;  3   ;      54.16 ;     229.69 ;
    6 ;   23 ;   1  ;  2   ;  86  ; SANTA CRUZ   ;  1   ;      82.93 ;     103.74 ;
    6 ;   23 ;   1  ;  2   ;  86  ; SANTA CRUZ   ;  2   ;      82.93 ;     103.74 ;
    6 ;   23 ;   1  ;  2   ;  86  ; SANTA CRUZ   ;  3   ;      82.73 ;     103.74 ;
    6 ;   23 ;   1  ;  2   ;  15  ; LUIZORMELO   ;  1   ;      82.93 ;     151.42 ;
    6 ;   23 ;   1  ;  2   ;  15  ; LUIZORMELO   ;  2   ;      82.93 ;     151.42 ;
    6 ;   23 ;   1  ;  2   ;  15  ; LUIZORMELO   ;  3   ;      82.73 ;     151.42 ;
    6 ;   23 ;   3  ;  2   ; 224  ; PSERGIPE I   ;  1   ;      80.94 ;     229.69 ;
    6 ;   23 ;   3  ;  2   ; 224  ; PSERGIPE I   ;  2   ;      80.92 ;     229.69 ;
    6 ;   23 ;   3  ;  2   ; 224  ; PSERGIPE I   ;  3   ;      75.83 ;     229.69 ;
    6 ;   24 ;   1  ;  2   ;  86  ; SANTA CRUZ   ;  1   ;     126.75 ;     103.74 ;
    6 ;   24 ;   1  ;  2   ;  86  ; SANTA CRUZ   ;  2   ;     126.75 ;     103.74 ;
    6 ;   24 ;   1  ;  2   ;  86  ; SANTA CRUZ   ;  3   ;     126.59 ;     103.74 ;
    6 ;   24 ;   1  ;  2   ;  15  ; LUIZORMELO   ;  1   ;     126.75 ;     151.42 ;
    6 ;   24 ;   1  ;  2   ;  15  ; LUIZORMELO   ;  2   ;     126.75 ;     151.42 ;
    6 ;   24 ;   1  ;  2   ;  15  ; LUIZORMELO   ;  3   ;     126.59 ;     151.42 ;
    6 ;   24 ;   3  ;  2   ; 224  ; PSERGIPE I   ;  1   ;     124.30 ;     229.69 ;
    6 ;   24 ;   3  ;  2   ; 224  ; PSERGIPE I   ;  2   ;     123.90 ;     229.69 ;
    6 ;   24 ;   3  ;  2   ; 224  ; PSERGIPE I   ;  3   ;     120.55 ;     229.69 ;
    6 ;   25 ;   1  ;  2   ;  86  ; SANTA CRUZ   ;  1   ;      61.48 ;     103.74 ;
    6 ;   25 ;   1  ;  2   ;  86  ; SANTA CRUZ   ;  2   ;      61.48 ;     103.74 ;
    6 ;   25 ;   1  ;  2   ;  86  ; SANTA CRUZ   ;  3   ;      60.93 ;     103.74 ;
    6 ;   25 ;   1  ;  2   ;  15  ; LUIZORMELO   ;  1   ;      61.48 ;     151.42 ;
    6 ;   25 ;   1  ;  2   ;  15  ; LUIZORMELO   ;  2   ;      61.48 ;     151.42 ;
    6 ;   25 ;   1  ;  2   ;  15  ; LUIZORMELO   ;  3   ;      60.93 ;     151.42 ;
    6 ;   25 ;   3  ;  2   ; 224  ; PSERGIPE I   ;  1   ;      61.17 ;     229.69 ;
    6 ;   25 ;   3  ;  2   ; 224  ; PSERGIPE I   ;  2   ;      61.17 ;     229.69 ;
    6 ;   25 ;   3  ;  2   ; 224  ; PSERGIPE I   ;  3   ;      59.42 ;     229.69 ;
    6 ;   26 ;   1  ;  2   ;  86  ; SANTA CRUZ   ;  1   ;     137.50 ;     103.74 ;
