-----;------;-----;--------;----;---------------;------------;----------;----------;----------;----------;----------;----------;----------;------------;----------;----------;----------;----------;---------------;----------;---------------;----------;---------;
IPER ; ICEN ;IPAT ;  Dur   ;SIST;   Nome Sist   ;  Demanda   ;  GerPeq  ;   Gter   ;  GterAT  ;   Ghid   ;  Cbomb   ;  Compra  ;  Venda   ; IntercLiq  ; Itaipu50 ; Itaipu60 ; Deficit  ;   ENA    ;   EarmInic    ;EarmInic% ;    EarmFim    ; EarmFim% ;   CMO   ;
  -  ;  -   ;  -  ;  (h)   ; -  ;       -       ;    (MW)    ;   (MW)   ;   (MW)   ;   (MW)   ;   (MW)   ;   (MW)   ;   (MW)   ;   (MW)   ;    (MW)    ;   (MW)   ;   (MW)   ;   (MW)   ; (MWmes)  ;    (MWmes)    ;   (%)    ;    (MWmes)    ;   (%)    ; ($/MWh) ;
-----;------;-----;--------;----;---------------;------------;----------;----------;----------;----------;----------;----------;----------;------------;----------;----------;----------;----------;---------------;----------;---------------;----------;---------;
   3 ;    3 ;   2 ;  46.00 ;  3 ; NE            ;    12671.3 ;   4382.0 ;  1668.10 ;     0.00 ;  3459.00 ;     0.00 ;     0.00 ;     0.00 ;    3162.20 ;    -     ;    -     ;     0.00 ;   2010.8 ;      31230.22 ;    60.52 ;      33153.94 ;    64.24 ;  147.52 ;
   3 ;    3 ;   3 ;  82.00 ;  3 ; NE            ;    10979.2 ;   4382.0 ;  1668.10 ;     0.00 ;  1616.58 ;     0.00 ;     0.00 ;     0.00 ;    3312.52 ;    -     ;    -     ;     0.00 ;   2010.8 ;      31230.22 ;    60.52 ;      33153.94 ;    64.24 ;  141.23 ;
   3 ;    3 ;  -  ;   -    ;  3 ; NE            ;    11946.6 ;   4382.0 ;  1668.10 ;     0.00 ;  2896.97 ;     0.00 ;     0.00 ;     0.00 ;    2999.54 ;    -     ;    -     ;     0.00 ;   2010.8 ;      31230.22 ;    60.52 ;      33153.94 ;    64.24 ;  144.63 ;
   3 ;    3 ;   1 ;  40.00 ;  4 ; N             ;     6166.1 ;    490.0 ;   650.50 ;     0.00 ; 18025.60 ;     0.00 ;     0.00 ;     0.00 ;  -13000.00 ;    -     ;    -     ;     0.00 ;   3604.3 ;       9127.50 ;    60.56 ;      10399.94 ;    69.01 ;    0.00 ;
   3 ;    3 ;   2 ;  46.00 ;  4 ; N             ;     6119.8 ;    490.0 ;   650.50 ;     0.00 ; 17979.30 ;     0.00 ;     0.00 ;     0.00 ;  -13000.00 ;    -     ;    -     ;     0.00 ;   3604.3 ;       9127.50 ;    60.56 ;      10399.94 ;    69.01 ;    0.00 ;
   3 ;    3 ;   3 ;  82.00 ;  4 ; N             ;     5572.8 ;    490.0 ;   650.50 ;     0.00 ; 16132.30 ;     0.00 ;     0.00 ;     0.00 ;  -11700.00 ;    -     ;    -     ;     0.00 ;   3604.3 ;       9127.50 ;    60.56 ;      10399.94 ;    69.01 ;    0.00 ;
   3 ;    3 ;  -  ;   -    ;  4 ; N             ;     5863.8 ;    490.0 ;   650.50 ;     0.00 ; 17088.81 ;     0.00 ;     0.00 ;     0.00 ;  -12365.48 ;    -     ;    -     ;     0.00 ;   3604.3 ;       9127.50 ;    60.56 ;      10399.94 ;    69.01 ;    0.00 ;
   3 ;    3 ;   1 ;  40.00 ; 11 ; FC            ;        0.0 ;      0.0 ;     0.00 ;     0.00 ;     0.00 ;     0.00 ;     0.00 ;     0.00 ;       0.00 ;    -     ;    -     ;     0.00 ;    -     ;       -       ;    -     ;       -       ;    -     ;    0.00 ;
   3 ;    3 ;   2 ;  46.00 ; 11 ; FC            ;        0.0 ;      0.0 ;     0.00 ;     0.00 ;     0.00 ;     0.00 ;     0.00 ;     0.00 ;       0.00 ;    -     ;    -     ;     0.00 ;    -     ;       -       ;    -     ;       -       ;    -     ;    0.00 ;
   3 ;    3 ;   3 ;  82.00 ; 11 ; FC            ;        0.0 ;      0.0 ;     0.00 ;     0.00 ;     0.00 ;     0.00 ;     0.00 ;     0.00 ;       0.00 ;    -     ;    -     ;     0.00 ;    -     ;       -       ;    -     ;       -       ;    -     ;    0.00 ;
   3 ;    3 ;  -  ;   -    ; 11 ; FC            ;        0.0 ;      0.0 ;     0.00 ;     0.00 ;     0.00 ;     0.00 ;     0.00 ;     0.00 ;       0.00 ;    -     ;    -     ;     0.00 ;    -     ;       -       ;    -     ;       -       ;    -     ;    0.00 ;
   4 ;    4 ;   1 ;  40.00 ;  1 ; SE            ;    48805.6 ;   3952.0 ;  3280.80 ;   393.00 ; 36962.64 ;    21.85 ;     0.00 ;     0.00 ;    6352.01 ;  2325.71 ;  6300.00 ;     0.00 ;  12638.7 ;      92359.05 ;    45.20 ;      94988.20 ;    46.49 ;  147.12 ;
   4 ;    4 ;   2 ;  46.00 ;  1 ; SE            ;    45861.6 ;   3952.0 ;  3282.80 ;   393.00 ; 35095.11 ;   115.60 ;     0.00 ;     0.00 ;    5319.29 ;  1900.00 ;  5193.48 ;     0.00 ;  12638.7 ;      92359.05 ;    45.20 ;      94988.20 ;    46.49 ;  146.46 ;
   4 ;    4 ;   3 ;  82.00 ;  1 ; SE            ;    37301.0 ;   3952.0 ;  3273.80 ;   393.00 ; 26330.79 ;   115.60 ;     0.00 ;     0.00 ;    5103.01 ;  1900.00 ;  4006.09 ;     0.00 ;  12638.7 ;      92359.05 ;    45.20 ;      94988.20 ;    46.49 ;  139.74 ;
   4 ;    4 ;  -  ;   -    ;  1 ; SE            ;    42384.2 ;   3952.0 ;  3277.93 ;   393.00 ; 31261.94 ;    93.28 ;     0.00 ;     0.00 ;    5459.61 ;  2001.36 ;  4877.38 ;     0.00 ;  12638.7 ;      92359.05 ;    45.20 ;      94988.20 ;    46.49 ;  143.34 ;
   4 ;    4 ;   1 ;  40.00 ;  2 ; S             ;    15776.0 ;   1773.0 ;   682.76 ;     0.00 ;  2820.24 ;     0.00 ;     0.00 ;     0.00 ;   10500.00 ;    -     ;    -     ;     0.00 ;    272.4 ;       4938.35 ;    24.82 ;       4891.75 ;    24.59 ;  228.12 ;
