 
 Relatorio dos beneficios  da geracao das usinas a GNL
 
------;------;------;------;------;--------------;------;------------;------------;
      ;      ;      ;      ;      ;              ;      ; Benef_GNL  ;    Custo   ;
 PER  ; CEN  ; SIS  ;  K   ;  Num ;     Usina    ; PAT  ; (R$/MW.H)  ;    (MW.H)   ;
------;------;------;------;------;--------------;------;------------;------------;
    6 ;   19 ;   1  ;  2   ;  86  ; SANTA CRUZ   ;  1   ;      59.71 ;     103.74 ;
    6 ;   19 ;   1  ;  2   ;  86  ; SANTA CRUZ   ;  2   ;      59.71 ;     103.74 ;
    6 ;   19 ;   1  ;  2   ;  86  ; SANTA CRUZ   ;  3   ;      59.57 ;     103.74 ;
    6 ;   19 ;   1  ;  2   ;  15  ; LUIZORMELO   ;  1   ;      59.71 ;     151.42 ;
    6 ;   19 ;   1  ;  2   ;  15  ; LUIZORMELO   ;  2   ;      59.71 ;     151.42 ;
    6 ;   19 ;   1  ;  2   ;  15  ; LUIZORMELO   ;  3   ;      59.57 ;     151.42 ;
    6 ;   19 ;   3  ;  2   ; 224  ; PSERGIPE I   ;  1   ;      57.74 ;     229.69 ;
    6 ;   19 ;   3  ;  2   ; 224  ; PSERGIPE I   ;  2   ;      57.74 ;     229.69 ;
    6 ;   19 ;   3  ;  2   ; 224  ; PSERGIPE I   ;  3   ;      56.22 ;     229.69 ;
    6 ;   20 ;   1  ;  2   ;  86  ; SANTA CRUZ   ;  1   ;     147.18 ;     103.74 ;
    6 ;   20 ;   1  ;  2   ;  86  ; SANTA CRUZ   ;  2   ;     147.18 ;     103.74 ;
    6 ;   20 ;   1  ;  2   ;  86  ; SANTA CRUZ   ;  3   ;     146.92 ;     103.74 ;
    6 ;   20 ;   1  ;  2   ;  15  ; LUIZORMELO   ;  1   ;     147.18 ;     151.42 ;
    6 ;   20 ;   1  ;  2   ;  15  ; LUIZORMELO   ;  2   ;     147.18 ;     151.42 ;
    6 ;   20 ;   1  ;  2   ;  15  ; LUIZORMELO   ;  3   ;     146.92 ;     151.42 ;
    6 ;   20 ;   3  ;  2   ; 224  ; PSERGIPE I   ;  1   ;     141.79 ;     229.69 ;
    6 ;   20 ;   3  ;  2   ; 224  ; PSERGIPE I   ;  2   ;     140.50 ;     229.69 ;
    6 ;   20 ;   3  ;  2   ; 224  ; PSERGIPE I   ;  3   ;     138.41 ;     229.69 ;
    6 ;   21 ;   1  ;  2   ;  86  ; SANTA CRUZ   ;  1   ;      82.04 ;     103.74 ;
    6 ;   21 ;   1  ;  2   ;  86  ; SANTA CRUZ   ;  2   ;      82.04 ;     103.74 ;
    6 ;   21 ;   1  ;  2   ;  86  ; SANTA CRUZ   ;  3   ;      81.95 ;     103.74 ;
    6 ;   21 ;   1  ;  2   ;  15  ; LUIZORMELO   ;  1   ;      82.04 ;     151.42 ;
    6 ;   21 ;   1  ;  2   ;  15  ; LUIZORMELO   ;  2   ;      82.04 ;     151.42 ;
    6 ;   21 ;   1  ;  2   ;  15  ; LUIZORMELO   ;  3   ;      81.95 ;     151.42 ;
    6 ;   21 ;   3  ;  2   ; 224  ; PSERGIPE I   ;  1   ;      79.28 ;     229.69 ;
    6 ;   21 ;   3  ;  2   ; 224  ; PSERGIPE I   ;  2   ;      79.28 ;     229.69 ;
    6 ;   21 ;   3  ;  2   ; 224  ; PSERGIPE I   ;  3   ;      77.85 ;     229.69 ;
    6 ;   22 ;   1  ;  2   ;  86  ; SANTA CRUZ   ;  1   ;     101.30 ;     103.74 ;
    6 ;   22 ;   1  ;  2   ;  86  ; SANTA CRUZ   ;  2   ;     101.30 ;     103.74 ;
    6 ;   22 ;   1  ;  2   ;  86  ; SANTA CRUZ   ;  3   ;     101.17 ;     103.74 ;
    6 ;   22 ;   1  ;  2   ;  15  ; LUIZORMELO   ;  1   ;     101.30 ;     151.42 ;
    6 ;   22 ;   1  ;  2   ;  15  ; LUIZORMELO   ;  2   ;     101.30 ;     151.42 ;
