-----;------;-----;--------;----;---------------;------------;----------;----------;----------;----------;----------;----------;----------;------------;----------;----------;----------;----------;---------------;----------;---------------;----------;---------;
IPER ; ICEN ;IPAT ;  Dur   ;SIST;   Nome Sist   ;  Demanda   ;  GerPeq  ;   Gter   ;  GterAT  ;   Ghid   ;  Cbomb   ;  Compra  ;  Venda   ; IntercLiq  ; Itaipu50 ; Itaipu60 ; Deficit  ;   ENA    ;   EarmInic    ;EarmInic% ;    EarmFim    ; EarmFim% ;   CMO   ;
  -  ;  -   ;  -  ;  (h)   ; -  ;       -       ;    (MW)    ;   (MW)   ;   (MW)   ;   (MW)   ;   (MW)   ;   (MW)   ;   (MW)   ;   (MW)   ;    (MW)    ;   (MW)   ;   (MW)   ;   (MW)   ; (MWmes)  ;    (MWmes)    ;   (%)    ;    (MWmes)    ;   (%)    ; ($/MWh) ;
-----;------;-----;--------;----;---------------;------------;----------;----------;----------;----------;----------;----------;----------;------------;----------;----------;----------;----------;---------------;----------;---------------;----------;---------;
   3 ;    3 ;   1 ;  40.00 ;  2 ; S             ;    16438.4 ;   1773.0 ;   665.00 ;     0.00 ;  3500.40 ;     0.00 ;     0.00 ;     0.00 ;   10500.00 ;    -     ;    -     ;     0.00 ;    599.7 ;       4859.51 ;    24.42 ;       5039.32 ;    25.33 ;  127.76 ;
   3 ;    3 ;   2 ;  46.00 ;  2 ; S             ;    14575.3 ;   1773.0 ;   665.00 ;     0.00 ;  2041.57 ;     0.00 ;     0.00 ;     0.00 ;   10095.73 ;    -     ;    -     ;     0.00 ;    599.7 ;       4859.51 ;    24.42 ;       5039.32 ;    25.33 ;  113.26 ;
   3 ;    3 ;   3 ;  82.00 ;  2 ; S             ;    11329.5 ;   1773.0 ;   665.00 ;     0.00 ;  1524.44 ;     0.00 ;     0.00 ;     0.00 ;    7367.06 ;    -     ;    -     ;     0.00 ;    599.7 ;       4859.51 ;    24.42 ;       5039.32 ;    25.33 ;  107.58 ;
   3 ;    3 ;  -  ;   -    ;  2 ; S             ;    13434.6 ;   1773.0 ;   665.00 ;     0.00 ;  2136.50 ;     0.00 ;     0.00 ;     0.00 ;    8860.13 ;    -     ;    -     ;     0.00 ;    599.7 ;       4859.51 ;    24.42 ;       5039.32 ;    25.33 ;  113.94 ;
   3 ;    3 ;   1 ;  40.00 ;  3 ; NE            ;    13096.4 ;   4382.0 ;   399.20 ;     0.00 ;  4089.41 ;     0.00 ;     0.00 ;     0.00 ;    4225.79 ;    -     ;    -     ;     0.00 ;   1890.1 ;      31182.47 ;    60.42 ;      33002.54 ;    63.95 ;  114.47 ;
   3 ;    3 ;   2 ;  46.00 ;  3 ; NE            ;    12671.3 ;   4382.0 ;   399.20 ;     0.00 ;  3157.10 ;     0.00 ;     0.00 ;     0.00 ;    4733.00 ;    -     ;    -     ;     0.00 ;   1890.1 ;      31182.47 ;    60.42 ;      33002.54 ;    63.95 ;  114.47 ;
   3 ;    3 ;   3 ;  82.00 ;  3 ; NE            ;    10979.2 ;   4382.0 ;   399.20 ;     0.00 ;  2125.00 ;     0.00 ;     0.00 ;     0.00 ;    4073.00 ;    -     ;    -     ;     0.00 ;   1890.1 ;      31182.47 ;    60.42 ;      33002.54 ;    63.95 ;  113.64 ;
   3 ;    3 ;  -  ;   -    ;  3 ; NE            ;    11946.6 ;   4382.0 ;   399.20 ;     0.00 ;  2875.31 ;     0.00 ;     0.00 ;     0.00 ;    4290.09 ;    -     ;    -     ;     0.00 ;   1890.1 ;      31182.47 ;    60.42 ;      33002.54 ;    63.95 ;  114.06 ;
   3 ;    3 ;   1 ;  40.00 ;  4 ; N             ;     6166.1 ;    490.0 ;   650.50 ;     0.00 ; 18025.60 ;     0.00 ;     0.00 ;     0.00 ;  -13000.00 ;    -     ;    -     ;     0.00 ;   3631.5 ;       9205.72 ;    61.08 ;      10513.46 ;    69.76 ;    0.00 ;
   3 ;    3 ;   2 ;  46.00 ;  4 ; N             ;     6119.8 ;    490.0 ;   650.50 ;     0.00 ; 17979.30 ;     0.00 ;     0.00 ;     0.00 ;  -13000.00 ;    -     ;    -     ;     0.00 ;   3631.5 ;       9205.72 ;    61.08 ;      10513.46 ;    69.76 ;    0.00 ;
   3 ;    3 ;   3 ;  82.00 ;  4 ; N             ;     5572.8 ;    490.0 ;   650.50 ;     0.00 ; 16132.30 ;     0.00 ;     0.00 ;     0.00 ;  -11700.00 ;    -     ;    -     ;     0.00 ;   3631.5 ;       9205.72 ;    61.08 ;      10513.46 ;    69.76 ;    0.00 ;
   3 ;    3 ;  -  ;   -    ;  4 ; N             ;     5863.8 ;    490.0 ;   650.50 ;     0.00 ; 17088.81 ;     0.00 ;     0.00 ;     0.00 ;  -12365.48 ;    -     ;    -     ;     0.00 ;   3631.5 ;       9205.72 ;    61.08 ;      10513.46 ;    69.76 ;    0.00 ;
   3 ;    3 ;   1 ;  40.00 ; 11 ; FC            ;        0.0 ;      0.0 ;     0.00 ;     0.00 ;     0.00 ;     0.00 ;     0.00 ;     0.00 ;       0.00 ;    -     ;    -     ;     0.00 ;    -     ;       -       ;    -     ;       -       ;    -     ;    0.00 ;
   3 ;    3 ;   2 ;  46.00 ; 11 ; FC            ;        0.0 ;      0.0 ;     0.00 ;     0.00 ;     0.00 ;     0.00 ;     0.00 ;     0.00 ;       0.00 ;    -     ;    -     ;     0.00 ;    -     ;       -       ;    -     ;       -       ;    -     ;    0.00 ;
   3 ;    3 ;   3 ;  82.00 ; 11 ; FC            ;        0.0 ;      0.0 ;     0.00 ;     0.00 ;     0.00 ;     0.00 ;     0.00 ;     0.00 ;       0.00 ;    -     ;    -     ;     0.00 ;    -     ;       -       ;    -     ;       -       ;    -     ;    0.00 ;
   3 ;    3 ;  -  ;   -    ; 11 ; FC            ;        0.0 ;      0.0 ;     0.00 ;     0.00 ;     0.00 ;     0.00 ;     0.00 ;     0.00 ;       0.00 ;    -     ;    -     ;     0.00 ;    -     ;       -       ;    -     ;       -       ;    -     ;    0.00 ;
   4 ;    4 ;   1 ;  40.00 ;  1 ; SE            ;    48805.6 ;   3952.0 ;  3242.70 ;   393.00 ; 38748.55 ;    32.09 ;     0.00 ;     0.00 ;    4614.43 ;  3936.45 ;  6300.00 ;     0.00 ;  16128.2 ;      99418.29 ;    48.66 ;     105638.01 ;    51.70 ;  113.52 ;
   4 ;    4 ;   2 ;  46.00 ;  1 ; SE            ;    45861.6 ;   3952.0 ;  3244.70 ;   393.00 ; 34680.91 ;   115.60 ;     0.00 ;     0.00 ;    5771.59 ;  1900.00 ;  6773.71 ;     0.00 ;  16128.2 ;      99418.29 ;    48.66 ;     105638.01 ;    51.70 ;  112.06 ;
   4 ;    4 ;   3 ;  82.00 ;  1 ; SE            ;    37301.0 ;   3952.0 ;  3235.70 ;   393.00 ; 26734.15 ;   115.60 ;     0.00 ;     0.00 ;    4737.75 ;  1900.00 ;  4006.09 ;     0.00 ;  16128.2 ;      99418.29 ;    48.66 ;     105638.01 ;    51.70 ;  106.45 ;
   4 ;    4 ;  -  ;   -    ;  1 ; SE            ;    42384.2 ;   3952.0 ;  3239.83 ;   393.00 ; 31770.62 ;    95.72 ;     0.00 ;     0.00 ;    4991.46 ;  2384.87 ;  5310.06 ;     0.00 ;  16128.2 ;      99418.29 ;    48.66 ;     105638.01 ;    51.70 ;  109.67 ;
   4 ;    4 ;   1 ;  40.00 ;  2 ; S             ;    15776.0 ;   1773.0 ;   665.00 ;     0.00 ;  3058.49 ;     0.00 ;     0.00 ;     0.00 ;   10279.51 ;    -     ;    -     ;     0.00 ;    657.1 ;       5039.32 ;    25.33 ;       5278.62 ;    26.53 ;  113.52 ;
