-----;------;-----;--------;----;---------------;------------;----------;----------;----------;----------;----------;----------;----------;------------;----------;----------;----------;----------;---------------;----------;---------------;----------;---------;
IPER ; ICEN ;IPAT ;  Dur   ;SIST;   Nome Sist   ;  Demanda   ;  GerPeq  ;   Gter   ;  GterAT  ;   Ghid   ;  Cbomb   ;  Compra  ;  Venda   ; IntercLiq  ; Itaipu50 ; Itaipu60 ; Deficit  ;   ENA    ;   EarmInic    ;EarmInic% ;    EarmFim    ; EarmFim% ;   CMO   ;
  -  ;  -   ;  -  ;  (h)   ; -  ;       -       ;    (MW)    ;   (MW)   ;   (MW)   ;   (MW)   ;   (MW)   ;   (MW)   ;   (MW)   ;   (MW)   ;    (MW)    ;   (MW)   ;   (MW)   ;   (MW)   ; (MWmes)  ;    (MWmes)    ;   (%)    ;    (MWmes)    ;   (%)    ; ($/MWh) ;
-----;------;-----;--------;----;---------------;------------;----------;----------;----------;----------;----------;----------;----------;------------;----------;----------;----------;----------;---------------;----------;---------------;----------;---------;
   2 ;    2 ;   1 ;  40.00 ;  4 ; N             ;     6070.1 ;    490.0 ;   650.50 ;     0.00 ; 17929.60 ;     0.00 ;     0.00 ;     0.00 ;  -13000.00 ;    -     ;    -     ;     0.00 ;   3399.9 ;       8136.55 ;    53.99 ;       9208.26 ;    61.10 ;    0.00 ;
   2 ;    2 ;   2 ;  46.00 ;  4 ; N             ;     6024.5 ;    490.0 ;   650.50 ;     0.00 ; 17884.00 ;     0.00 ;     0.00 ;     0.00 ;  -13000.00 ;    -     ;    -     ;     0.00 ;   3399.9 ;       8136.55 ;    53.99 ;       9208.26 ;    61.10 ;    0.00 ;
   2 ;    2 ;   3 ;  82.00 ;  4 ; N             ;     5486.1 ;    490.0 ;   650.50 ;     0.00 ; 16045.60 ;     0.00 ;     0.00 ;     0.00 ;  -11700.00 ;    -     ;    -     ;     0.00 ;   3399.9 ;       8136.55 ;    53.99 ;       9208.26 ;    61.10 ;    0.00 ;
   2 ;    2 ;  -  ;   -    ;  4 ; N             ;     5772.6 ;    490.0 ;   650.50 ;     0.00 ; 16997.54 ;     0.00 ;     0.00 ;     0.00 ;  -12365.48 ;    -     ;    -     ;     0.00 ;   3399.9 ;       8136.55 ;    53.99 ;       9208.26 ;    61.10 ;    0.00 ;
   2 ;    2 ;   1 ;  40.00 ; 11 ; FC            ;        0.0 ;      0.0 ;     0.00 ;     0.00 ;     0.00 ;     0.00 ;     0.00 ;     0.00 ;       0.00 ;    -     ;    -     ;     0.00 ;    -     ;       -       ;    -     ;       -       ;    -     ;    0.00 ;
   2 ;    2 ;   2 ;  46.00 ; 11 ; FC            ;        0.0 ;      0.0 ;     0.00 ;     0.00 ;     0.00 ;     0.00 ;     0.00 ;     0.00 ;       0.00 ;    -     ;    -     ;     0.00 ;    -     ;       -       ;    -     ;       -       ;    -     ;    0.00 ;
   2 ;    2 ;   3 ;  82.00 ; 11 ; FC            ;        0.0 ;      0.0 ;     0.00 ;     0.00 ;     0.00 ;     0.00 ;     0.00 ;     0.00 ;       0.00 ;    -     ;    -     ;     0.00 ;    -     ;       -       ;    -     ;       -       ;    -     ;    0.00 ;
   2 ;    2 ;  -  ;   -    ; 11 ; FC            ;        0.0 ;      0.0 ;     0.00 ;     0.00 ;     0.00 ;     0.00 ;     0.00 ;     0.00 ;       0.00 ;    -     ;    -     ;     0.00 ;    -     ;       -       ;    -     ;       -       ;    -     ;    0.00 ;
   3 ;    3 ;   1 ;  40.00 ;  1 ; SE            ;    49464.5 ;   3952.0 ;  3280.80 ;   393.00 ; 36703.09 ;     2.03 ;     0.00 ;     0.00 ;    7250.64 ;  2310.47 ;  6300.00 ;     0.00 ;  15079.1 ;      91412.06 ;    44.74 ;      96406.27 ;    47.18 ;  128.71 ;
   3 ;    3 ;   2 ;  46.00 ;  1 ; SE            ;    46480.8 ;   3952.0 ;  3282.80 ;   393.00 ; 34549.52 ;   114.86 ;     0.00 ;     0.00 ;    6483.34 ;  1900.00 ;  6758.47 ;     0.00 ;  15079.1 ;      91412.06 ;    44.74 ;      96406.27 ;    47.18 ;  127.16 ;
   3 ;    3 ;   3 ;  82.00 ;  1 ; SE            ;    37804.6 ;   3952.0 ;  3273.80 ;   393.00 ; 27733.28 ;   115.60 ;     0.00 ;     0.00 ;    4204.12 ;  1900.00 ;  3990.19 ;     0.00 ;  15079.1 ;      91412.06 ;    44.74 ;      96406.27 ;    47.18 ;  122.80 ;
   3 ;    3 ;  -  ;   -    ;  1 ; SE            ;    42956.4 ;   3952.0 ;  3277.93 ;   393.00 ; 31735.30 ;    88.36 ;     0.00 ;     0.00 ;    5553.56 ;  1997.73 ;  5298.13 ;     0.00 ;  15079.1 ;      91412.06 ;    44.74 ;      96406.27 ;    47.18 ;  125.40 ;
   3 ;    3 ;   1 ;  40.00 ;  2 ; S             ;    16438.4 ;   1773.0 ;   665.00 ;     0.00 ;  4346.52 ;     0.00 ;     0.00 ;     0.00 ;    9653.88 ;    -     ;    -     ;     0.00 ;    791.3 ;       4703.68 ;    23.64 ;       4988.47 ;    25.07 ;  128.71 ;
   3 ;    3 ;   2 ;  46.00 ;  2 ; S             ;    14575.3 ;   1773.0 ;   665.00 ;     0.00 ;  2743.36 ;     0.00 ;     0.00 ;     0.00 ;    9393.94 ;    -     ;    -     ;     0.00 ;    791.3 ;       4703.68 ;    23.64 ;       4988.47 ;    25.07 ;  127.16 ;
   3 ;    3 ;   3 ;  82.00 ;  2 ; S             ;    11329.5 ;   1773.0 ;   665.00 ;     0.00 ;  1478.43 ;     0.00 ;     0.00 ;     0.00 ;    7413.07 ;    -     ;    -     ;     0.00 ;    791.3 ;       4703.68 ;    23.64 ;       4988.47 ;    25.07 ;  122.80 ;
   3 ;    3 ;  -  ;   -    ;  2 ; S             ;    13434.6 ;   1773.0 ;   665.00 ;     0.00 ;  2507.66 ;     0.00 ;     0.00 ;     0.00 ;    8488.98 ;    -     ;    -     ;     0.00 ;    791.3 ;       4703.68 ;    23.64 ;       4988.47 ;    25.07 ;  125.40 ;
   3 ;    3 ;   1 ;  40.00 ;  3 ; NE            ;    13096.4 ;   4382.0 ;  1303.10 ;     0.00 ;  5015.82 ;     0.00 ;     0.00 ;     0.00 ;    2395.48 ;    -     ;    -     ;     0.00 ;   1849.1 ;      31121.53 ;    60.31 ;      32882.00 ;    63.72 ;  128.71 ;
   3 ;    3 ;   2 ;  46.00 ;  3 ; NE            ;    12671.3 ;   4382.0 ;  1303.10 ;     0.00 ;  3105.01 ;     0.00 ;     0.00 ;     0.00 ;    3881.19 ;    -     ;    -     ;     0.00 ;   1849.1 ;      31121.53 ;    60.31 ;      32882.00 ;    63.72 ;  127.16 ;
